TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime
strong,ofast_omp_improved,4,32,8,14,1,16384,16384,500,5.8668,5.7262,5.6422,0.0866,0.4137,0.0463
strong,ofast_omp_improved,4,64,16,7,1,16384,16384,500,3.1824,3.1010,3.0595,0.0438,0.1513,0.0237
strong,ofast_omp_improved,4,64,16,7,2,16384,16384,500,3.1719,3.1113,3.0706,0.0437,0.1959,0.0241
strong,ofast_omp_improved,4,32,8,14,8,16384,16384,500,5.7450,5.6373,5.5513,0.0876,0.2990,0.0441
strong,ofast_omp_improved,4,64,16,7,8,16384,16384,500,3.3003,3.2169,3.1751,0.0454,0.3243,0.0231
strong,ofast_omp_improved,4,8,2,56,1,16384,16384,500,23.5812,23.3123,23.0042,0.3081,3.9240,0.2515
strong,ofast_omp_improved,4,8,2,56,2,16384,16384,500,23.5172,22.9493,22.6432,0.3083,1.0914,0.1786
strong,ofast_omp_improved,4,8,2,56,8,16384,16384,500,24.4226,24.1131,23.8066,0.3080,1.7192,0.1755
strong,ofast_omp_improved,2,16,8,14,8,16384,16384,500,11.5696,11.4191,11.3247,0.0979,0.7880,0.1000
strong,ofast_omp_improved,2,16,8,14,2,16384,16384,500,11.7663,11.6106,11.5173,0.0969,0.7934,0.1000
strong,ofast_omp_improved,2,16,8,14,1,16384,16384,500,11.8434,11.6786,11.5839,0.0985,0.8637,0.0990
strong,ofast_omp_improved,2,32,16,7,1,16384,16384,500,6.2731,6.2189,6.1615,0.0590,1.0722,0.0434
strong,ofast_omp_improved,2,32,16,7,8,16384,16384,500,6.4433,6.3463,6.2915,0.0617,0.3561,0.0479
strong,ofast_omp_improved,2,32,16,7,2,16384,16384,500,6.4177,6.2994,6.2398,0.0596,0.3604,0.0474
strong,ofast_omp_improved,2,4,2,56,1,16384,16384,500,46.8840,46.5613,46.2345,0.3268,1.9171,0.3279
strong,ofast_omp_improved,2,4,2,56,8,16384,16384,500,46.7482,46.3854,46.0635,0.3281,2.3469,0.3392
strong,ofast_omp_improved,2,4,2,56,2,16384,16384,500,48.3879,48.0683,47.7440,0.3276,3.4320,0.3413
strong,ofast_omp_improved,1,8,8,14,1,16384,16384,500,23.1280,22.9029,22.7897,0.1176,1.1743,0.1694
strong,ofast_omp_improved,1,8,8,14,2,16384,16384,500,22.9584,22.8262,22.7099,0.1202,1.1232,0.1745
strong,ofast_omp_improved,1,16,16,7,2,16384,16384,500,12.5799,12.4729,12.4058,0.0759,0.3328,0.0917
strong,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.8618,12.7480,12.6782,0.0727,0.7129,0.0898
strong,ofast_omp_improved,1,8,8,14,8,16384,16384,500,23.5860,23.4669,23.3479,0.1200,1.0423,0.1747
strong,ofast_omp_improved,1,16,16,7,8,16384,16384,500,12.6104,12.5439,12.4668,0.0771,0.3468,0.0917
strong,ofast_omp_improved,1,2,2,56,1,16384,16384,500,101.1712,100.7677,100.3246,0.4431,0.9074,0.7176
strong,ofast_omp_improved,1,2,2,56,2,16384,16384,500,100.4135,100.0107,99.5735,0.4372,0.3658,0.7195
strong,ofast_omp_improved,1,2,2,56,8,16384,16384,500,100.6090,100.1880,99.7546,0.4335,0.7107,0.6995
strong,ofast_omp_improved,16,128,8,14,1,16384,16384,500,1.4904,1.3569,1.2905,0.0672,0.1151,0.0127
strong,ofast_omp_improved,16,128,8,14,2,16384,16384,500,1.4897,1.3660,1.2995,0.0672,0.1299,0.0122
strong,ofast_omp_improved,16,128,8,14,8,16384,16384,500,1.5447,1.4355,1.3670,0.0686,0.1894,0.0116
strong,ofast_omp_improved,16,256,16,7,1,16384,16384,500,0.8234,0.7872,0.7555,0.0339,0.1660,0.0067
strong,ofast_omp_improved,16,32,2,56,1,16384,16384,500,6.8463,6.5456,6.2720,0.2737,0.7801,0.0478
strong,ofast_omp_improved,16,32,2,56,2,16384,16384,500,6.6063,6.1102,5.8431,0.2700,0.5892,0.0470
